total_products,delay_status,order_count
1.0,long_delay,4773
1.0,on_time,79642
1.0,short_delay,4448
2.0,long_delay,307
2.0,on_time,6903
2.0,short_delay,306
3.0,long_delay,49
3.0,on_time,1225
3.0,short_delay,48
4.0,long_delay,17
4.0,on_time,467
4.0,short_delay,21
5.0,long_delay,7
5.0,on_time,180
5.0,short_delay,17
6.0,long_delay,11
6.0,on_time,175
6.0,short_delay,12
7.0,on_time,22
8.0,on_time,8
9.0,on_time,3
10.0,on_time,8
11.0,on_time,4
12.0,on_time,5
13.0,on_time,1
14.0,on_time,2
15.0,on_time,2
20.0,on_time,2
21.0,long_delay,1
